ID,Product Name,Product Description,Price,Color
BPO230603,Fabrics 3 Piece Suit,Dyed Embroidered Polyester Organza | Top Bottoms Dupatta,8990,BLUE
BDS230603,Fabrics 3 Piece Suit,Dyed Embroidered Dull Raw Silk | Top Bottoms Dupatta,7390,BLUE
BPO230601,Fabrics 3 Piece Suit,Dyed Embroidered Polyester Organza | Top Bottoms Dupatta,9790,RED
BPO230604,Fabrics 3 Piece Suit,Dyed Embroidered Polyester Organza | Top Bottoms Dupatta,8990,PURPLE
BDS230604,Fabrics 3 Piece Suit,Dyed Embroidered Dull Raw Silk | Top Bottoms Dupatta,7790,RED
BDS230602,Fabrics 3 Piece Suit,Dyed Embroidered Dull Raw Silk | Top Bottoms Dupatta,8190,BEIGE
BDS230601,Fabrics 3 Piece Suit,Dyed Embroidered Dull Raw Silk | Top Bottoms Dupatta,7190,WHITE
MLA230703,Fabrics 2 Piece,Printed Embroidered Lawn | Top Dupatta,4390,BLACK
ILA230704,Fabrics 2 Piece,Printed Embroidered Lawn | Top Bottoms,3990,BROWN
ILA230701,Fabrics 2 Piece,Printed Embroidered Lawn | Top Bottoms,3590,BLACK
LLA230703,Fabrics 2 Piece,Printed Lawn | Top Dupatta,2590,ORANGE
LRI230601,Fabrics 2 Piece,Printed Lawn | Top Dupatta,3590,RED
MLA230704,Fabrics 2 Piece,Printed Embroidered Lawn | Top Dupatta,4390,BLUE
LLA230711,Fabrics 2 Piece,Printed Lawn | Top Dupatta,2390,MUSTARD
LRI230602,Fabrics 2 Piece,Printed Lawn | Top Dupatta,3590,MUSTARD
ILA230703,Fabrics 2 Piece,Printed Embroidered Lawn | Top Bottoms,4190,WHITE
ILA230702,Fabrics 2 Piece,Printed Embroidered Lawn | Top Bottoms,3590,PURPLE
LLA230810,Fabrics 2 Piece,Printed Lawn | Top Dupatta,2390,RED
LLA230809,Fabrics 2 Piece,Printed Lawn | Top Dupatta,2390,MUSTARD
ALA230817,Fabrics 3 Piece Suit,Printed Lawn | Top Bottoms Dupatta,3990,BEIGE
BLA230809,Fabrics 3 Piece Suit,Printed Embroidered Lawn | Top Bottoms Dupatta,3690,BEIGE
ALA230818,Fabrics 3 Piece Suit,Printed Lawn | Top Bottoms Dupatta,3990,MUSTARD
BLA230806,Fabrics 3 Piece Suit,Printed Embroidered Lawn | Top Bottoms Dupatta,4390,PINK
LLA230807,Fabrics 2 Piece,Printed Lawn | Top Dupatta,2490,PURPLE
ALA230820,Fabrics 3 Piece Suit,Printed Lawn | Top Bottoms Dupatta,3990,BLACK
ALA230806,Fabrics 3 Piece Suit,Printed Lawn | Top Bottoms Dupatta,3990,RED
JLA230801,Fabrics 2 Piece,Printed Lawn | Top Bottoms,2390,BEIGE
ALA230803,Fabrics 3 Piece Suit,Printed Lawn | Top Bottoms Dupatta,3990,OFF-WHITE
AMA231003,Fabrics 3 Piece Suit,Printed Marina Twill | Top Bottoms Dupatta,4990,TEAL
AJ230601,Fabrics 3 Piece Suit,Yarn Dyed Cotton Brosha Jacquard | Top Bottoms Dupatta,6790,BLUE
AJ230604,Fabrics 3 Piece Suit,Yarn Dyed Cotton Brosha Jacquard | Top Bottoms Dupatta,6790,RED
AJ230602,Fabrics 3 Piece Suit,Yarn Dyed Cotton Brosha Jacquard | Top Bottoms Dupatta,6790,BLACK
AJ230603,Fabrics 3 Piece Suit,Yarn Dyed Cotton Brosha Jacquard | Top Bottoms Dupatta,6790,MUSTARD
KKF230601,Fabrics 3 Piece Suit | Khaas,Dyed Embroidered Viscose Silk | Top Bottoms Dupatta,18990,BLACK
AMA231006,Fabrics 3 Piece Suit,Printed Marina Twill | Top Bottoms Dupatta,4990,PURPLE
ALK231015,Fabrics 3 Piece Suit,Printed Light Khaddar | Top Bottoms Dupatta,3490,BLACK
BCH231004,Fabrics 3 Piece Suit,Dyed Embroidered Crosshatch | Top Bottoms Dupatta,5490,BLUE
BK231003,Fabrics 3 Piece Suit,Printed Embroidered Khaddar | Top Bottoms Shawl,5490,PINK
LLK231003,Fabrics 2 Piece,Printed Light Khaddar | Top Dupatta,2890,D-PINK
LK231001,Fabrics 2 Piece,Printed Khaddar | Top Dupatta,2590,BLACK
LLK231002,Fabrics 2 Piece,Printed Light Khaddar | Top Dupatta,2890,OFF-WHITE
ICH231002,Fabrics 2 Piece,Dyed Embroidered Crosshatch | Top Bottoms,3990,MUSTARD
MCH231002,Fabrics 2 Piece,Dyed Embroidered Crosshatch | Top Dupatta,3990,CORAL
MLK231002,Fabrics 2 Piece Suit,Printed Embroidered Light Khaddar | Top Dupatta,3390,OFF-WHITE
IK231001,Fabrics 2 Piece,Printed Embroidered Khaddar | Top Bottoms,3290,RUST
MCA231002,Fabrics 2 Piece,Printed Embroidered Cambric | Top Dupatta,3390,YELLOW
MCA231001,Fabrics 2 Piece,Printed Embroidered Cambric | Top Dupatta,3390,TEAL
MCH231001,Fabrics 2 Piece,Dyed Embroidered Crosshatch | Top Dupatta,3990,OLIVE
MCA231003,Fabrics 2 Piece,Printed Embroidered Cambric | Top Dupatta,3390,BLACK
ICH231001,Fabrics 2 Piece,Dyed Embroidered Crosshatch | Top Bottoms,3990,NAVY
ICH231003,Fabrics 2 Piece,Dyed Embroidered Crosshatch | Top Bottoms,3990,BLACK
ISCH231003,Fabrics 2 Piece,Printed Embroidered Slub Crosshatch | Top Bottoms,3990,L-YELLOW
ISCH231004,Fabrics 2 Piece,Printed Embroidered Slub Crosshatch | Top Bottoms,3990,L-GREEN
LLK231001,Fabrics 2 Piece,Printed Light Khaddar | Top Dupatta,2590,GREEN
LK231002,Fabrics 2 Piece,Printed Khaddar | Top Dupatta,2590,RED
LLA230913,Fabrics 2 Piece,Printed Lawn | Top Dupatta,2990,BLACK
JLK231003,Fabrics 2 Piece,Printed Light Khaddar | Top Bottoms,2790,BLACK
JLK231004,Fabrics 2 Piece,Printed Light Khaddar | Top Bottoms,2790,RED
EET24144,Classic Kameez,Printed | Cambric,2490,MULTI
EET24145,Classic Kameez,Printed | Cambric,2490,MULTI
EET24150,Classic Kameez,Printed | Cambric,2490,MULTI
EET24147,Classic Kameez,Printed | Cambric,2490,MULTI
EET23530,Classic Kurta,Dyed Embroidered | Crosshatch,3490,RUST
