ID,Product Name,Product Description,Price,Availability,Color,Img Path,Product Link,Sizes,Category
LLA230902,Fabrics 2 Piece,Printed Lawn | Top Dupatta,2490,In Stock,BEIGE,images\LLA230902,https://pk.khaadi.com/fabrics-2-piece-lla230902-1001781101.html,"S, M, L, XL",3 Piece
JCA231003,Fabrics 2 Piece,Printed Cambric | Top Bottoms,2490,In Stock,GREEN,images\JCA231003,https://pk.khaadi.com/fabrics-2-piece-jca231003-1001785259.html,"S, M, L, XL",3 Piece
JLK231002,Fabrics 2 Piece,Printed Light Khaddar | Top Bottoms,2490,In Stock,L-GREEN,images\JLK231002,https://pk.khaadi.com/fabrics-2-piece-jlk231002-1001785263.html,"S, M, L, XL",1 Piece
JCA231001,Fabrics 2 Piece,Printed Cambric | Top Bottoms,2490,In Stock,NAVY,images\JCA231001,https://pk.khaadi.com/fabrics-2-piece-jca231001-1001785255.html,"S, M, L, XL",1 Piece
JLK231001,Fabrics 2 Piece,Printed Light Khaddar | Top Bottoms,2490,In Stock,BEIGE,images\JLK231001,https://pk.khaadi.com/fabrics-2-piece-jlk231001-1001785261.html,"S, M, L, XL",1 Piece
WSCD23237,Wrap Blouse,Printed | Viscose Crepe,3990,In Stock,BLACK,images\WSCD23237,https://pk.khaadi.com/wrap-blouse-wscd23237-1001786432.html,"S, M, L, XL",1 Piece
WSCT23223,Button Down Tunic,Printed | Viscose Crepe,3490,In Stock,BROWN,images\WSCT23223,https://pk.khaadi.com/button-down-tunic-wsct23223-1001786436.html,"S, M, L, XL",1 Piece
WSCT23224,Drawstring Waist Shirt,Dyed Embroidered | Viscose Cottel,4690,In Stock,BEIGE,images\WSCT23224,https://pk.khaadi.com/drawstring-waist-shirt-wsct23224-1001789557.html,"S, M, L, XL",1 Piece
WSCD23241,V Neck Blouse,Dyed Embroidered | Viscose Cottel,3990,In Stock,BLACK,images\WSCD23241,https://pk.khaadi.com/v-neck-blouse-wscd23241-1001788712.html,"S, M, L, XL",1 Piece
WSCD23248,Wrap Dress,Printed | Viscose Cottel,4990,In Stock,BLACK,images\WSCD23248,https://pk.khaadi.com/wrap-dress-wscd23248-1001787877.html,"S, M, L, XL",1 Piece
WSCD23239,Wrap Dress,Printed | Dull Raw Silk,4990,In Stock,BLUE,images\WSCD23239,https://pk.khaadi.com/wrap-dress-wscd23239-1001787881.html,"S, M, L, XL",1 Piece
WSCD23238,Belted Shirt Dress,Printed | Viscose Crepe,4990,In Stock,BLUE,images\WSCD23238,https://pk.khaadi.com/belted-shirt-dress-wscd23238-1001787873.html,"S, M, L, XL",1 Piece
WSCB23219,Bootcut Trousers,Printed | Viscose Crepe,2590,In Stock,BROWN,images\WSCB23219,https://pk.khaadi.com/bootcut-trousers-wscb23219-1001787865.html,"S, M, L, XL",1 Piece
